#{"t_start": 1771448279.4031758, "env_id": "None"}
r,l,t
225.493388,300,12.297934
223.364255,300,24.00133
216.654241,300,35.790125
226.537103,300,47.612817
213.120118,300,59.32932
219.290467,300,71.009114
212.156149,300,82.713694
226.611186,300,94.362913
214.555343,300,106.00416
216.902025,300,117.678979
212.923806,300,129.622041
217.357317,300,141.474779
223.626794,300,153.241803
211.067633,300,165.064047
219.785059,300,176.962734
220.047186,300,188.557992
225.770708,300,200.408387
221.757007,300,212.179287
228.750409,300,223.927571
231.865474,300,236.473612
232.192971,300,248.14928
225.622262,300,259.957929
234.52717,300,271.611447
226.125216,300,283.198818
231.912378,300,295.313542
234.215213,300,307.120985
223.889325,300,318.953284
244.779449,300,330.592878
232.507595,300,342.242088
221.115277,300,353.886696
213.559619,300,365.817899
230.335317,300,377.542267
237.699298,300,389.163571
224.752946,300,400.791222
234.257059,300,412.496789
234.543186,300,424.115745
233.974708,300,435.689657
221.757007,300,447.309973
229.900409,300,459.023157
232.215474,300,470.591642
232.256971,300,482.28801
224.750262,300,493.865706
234.40517,300,505.523933
225.673216,300,517.013161
231.576378,300,528.68837
234.215213,300,540.499861
223.753325,300,552.354168
245.379449,300,563.933843
232.921595,300,575.390655
230.874529,300,587.501327
226.706498,300,599.047553
231.429317,300,610.720357
238.049298,300,624.477937
224.702946,300,638.055482
234.729059,300,649.569482
234.493186,300,661.136787
234.110708,300,672.666221
221.857007,300,684.356193
215.508409,300,695.998362
217.548504,300,708.12935
220.554971,300,719.962676
223.190762,300,731.481642
220.203292,300,743.023187
212.372964,300,754.575794
217.512439,300,766.238992
219.647022,300,777.801293
209.783133,300,789.539438
230.701071,300,801.094685
218.533343,300,813.072479
216.514025,300,825.685339
212.645306,300,837.193586
217.017317,300,848.780208
223.363294,300,860.407111
210.67732,300,871.997555
220.391494,300,883.531517
232.329186,300,894.972848
233.960708,300,906.856102
221.757007,300,918.432745
229.450409,300,929.983263
232.165474,300,941.476878
232.342971,300,952.984163
225.722262,300,965.228338
234.40117,300,976.810278
225.853216,300,988.186176
228.540378,300,999.778172
230.993213,300,1011.323912
223.731325,300,1022.951777
245.079449,300,1034.777663
233.007595,300,1046.563689
230.874529,300,1058.120756
226.670498,300,1069.774467
223.347317,300,1081.57151
223.389298,300,1094.79683
211.064946,300,1107.000464
232.429059,300,1119.04709
234.393186,300,1131.071153
233.960708,300,1143.053455
214.589194,300,1155.168676
228.615409,300,1167.209999
231.625974,300,1179.301365
230.541158,300,1191.361209
224.587262,300,1203.531658
234.38767,300,1215.688851
225.703216,300,1227.608996
231.240378,300,1239.788273
233.9154,300,1251.803299
223.189325,300,1263.882059
244.807449,300,1276.527961
232.835595,300,1288.47803
230.774529,300,1300.971337
225.848498,300,1315.664041
227.669317,300,1327.841177
237.183298,300,1339.95899
224.652946,300,1352.012828
233.139559,300,1364.005667
232.655186,300,1376.095793
231.090708,300,1388.136301
221.449007,300,1402.729447
229.614409,300,1414.746288
230.815474,300,1427.167666
224.841158,300,1439.233756
224.894262,300,1451.791885
234.52717,300,1463.898848
223.583216,300,1475.842256
228.812378,300,1488.109447
233.465587,300,1500.446333
223.889325,300,1512.622553
239.977823,300,1524.839498
224.877595,300,1536.860866
230.774529,300,1549.113859
226.206498,300,1561.291986
230.137317,300,1573.465652
237.779298,300,1585.733345
224.702946,300,1597.831146
234.579059,300,1609.846069
234.543186,300,1621.979174
233.960708,300,1634.088871
221.857007,300,1646.258529
226.672909,300,1658.489506
232.125974,300,1670.797172
232.242971,300,1682.853007
225.182762,300,1697.186964
232.27717,300,1709.248881
219.726903,300,1721.250551
220.611378,300,1733.496747
231.765213,300,1745.672865
221.449825,300,1757.728361
245.057449,300,1769.869874
232.918095,300,1781.845142
230.774529,300,1794.032174
226.806498,300,1806.111537
231.329317,300,1818.078377
238.099298,300,1830.031994
224.702946,300,1845.547283
234.689559,300,1857.735956
233.593186,300,1869.852072
224.294269,300,1881.907159
221.407007,300,1894.101753
229.900409,300,1906.853267
232.165474,300,1919.067477
232.342971,300,1931.236499
225.872262,300,1943.205828
234.52717,300,1955.333202
226.175216,300,1967.324946
231.862378,300,1979.655939
234.165213,300,1991.868677
