#{"t_start": 1771450397.373433, "env_id": "None"}
r,l,t
222.644388,300,12.216334
225.416882,300,23.840767
219.07518,300,35.3802
228.460981,300,47.699861
215.30137,300,59.396147
220.997593,300,70.943734
213.755902,300,82.850729
229.098751,300,94.619644
216.273782,300,106.266972
218.63209,300,117.794256
215.187872,300,129.388292
219.415817,300,140.920566
225.981172,300,152.561687
212.396446,300,164.485183
223.025933,300,175.874652
222.15356,300,187.299951
222.136895,300,198.743389
210.410881,300,210.316528
217.852596,300,221.780303
220.381878,300,233.289979
219.702532,300,245.117986
213.628262,300,256.703566
222.436918,300,268.198424
214.615464,300,280.015764
219.687878,300,291.595842
222.754713,300,303.136286
211.976012,300,314.640927
232.793136,300,326.455401
220.748969,300,337.865902
218.261716,300,349.573564
214.116685,300,361.074408
218.856817,300,372.577602
225.064985,300,384.263149
211.735946,300,395.816891
222.081246,300,407.677704
221.94656,300,419.268459
221.148082,300,430.603961
209.333507,300,442.05321
217.222409,300,454.3219
219.006065,300,465.934118
219.305032,300,477.780165
212.815979,300,489.215005
221.777731,300,500.72544
212.934777,300,512.248447
218.961065,300,523.78404
221.160774,300,535.321887
210.462885,300,546.83779
232.487136,300,558.864009
219.664282,300,570.238362
218.17959,300,581.659549
214.293059,300,593.103796
218.458817,300,604.580909
225.277546,300,616.0685
212.025133,300,627.537809
221.34262,300,639.512045
221.398686,300,651.180988
221.626269,300,662.672893
208.603881,300,674.148436
216.746096,300,685.842023
219.103752,300,697.367993
219.188658,300,708.846112
212.653479,300,720.859612
221.647357,300,732.361825
213.209403,300,743.824931
219.077439,300,755.433231
221.487587,300,767.065251
211.385885,300,778.795411
231.943136,300,790.371771
220.292282,300,802.260083
218.42859,300,813.944054
214.218185,300,825.846128
218.849817,300,837.77544
225.008359,300,849.678471
211.753946,300,861.565897
221.93762,300,873.293294
220.92706,300,885.320083
221.587895,300,896.986175
208.486194,300,908.711836
217.075596,300,920.470566
218.980565,300,932.41517
219.202471,300,944.489096
212.985762,300,956.755964
221.458357,300,969.013369
213.196464,300,980.833541
218.717878,300,992.682402
221.156087,300,1004.392462
211.373825,300,1016.171991
232.430949,300,1027.867514
220.223469,300,1039.780805
218.293277,300,1051.479597
214.188685,300,1063.298429
218.581817,300,1075.552107
225.392672,300,1087.707883
212.263446,300,1099.73569
221.822246,300,1111.671
221.136434,300,1123.984542
221.121582,300,1135.867691
209.492007,300,1148.153621
217.610909,300,1160.152165
219.865348,300,1172.21785
220.290345,300,1184.334126
213.713792,300,1196.550995
222.350544,300,1209.664066
214.31259,300,1222.139651
219.622878,300,1234.447235
222.2964,300,1246.736335
211.923385,300,1258.844673
233.014323,300,1271.240911
221.328282,300,1283.149213
218.800216,300,1295.456901
214.860185,300,1307.67794
219.540817,300,1319.853932
226.029485,300,1332.059357
213.482133,300,1344.158745
222.976746,300,1356.042571
222.65706,300,1367.94048
222.971895,300,1380.568294
210.748194,300,1392.579054
218.756596,300,1404.583592
220.957691,300,1416.545632
220.163971,300,1428.52507
214.720949,300,1440.487478
223.107544,300,1452.845299
215.47109,300,1464.80524
221.399252,300,1477.038261
222.6774,300,1489.052357
213.419012,300,1501.1719
235.122136,300,1513.260504
221.883969,300,1525.444138
219.400903,300,1538.108852
215.870746,300,1550.253114
221.070817,300,1562.497979
227.331672,300,1574.643049
214.42532,300,1586.96257
223.373059,300,1599.08166
223.710873,300,1611.225767
223.497269,300,1623.662851
211.699507,300,1635.722612
219.937596,300,1647.965209
221.651974,300,1660.014418
221.913345,300,1672.148162
215.450292,300,1684.220312
225.231418,300,1696.218402
216.263338,300,1708.378304
221.924378,300,1720.407104
224.4339,300,1732.427297
214.262512,300,1744.568657
235.642636,300,1756.464596
223.543595,300,1768.422326
221.193964,300,1780.421271
218.015685,300,1792.875252
222.202317,300,1804.859483
228.873798,300,1817.000845
215.847133,300,1829.000549
225.101494,300,1840.95319
225.699747,300,1852.944034
224.259956,300,1864.913047
212.500194,300,1877.189624
220.853596,300,1889.273288
224.208722,300,1901.300074
223.847158,300,1913.313352
216.729762,300,1925.211
225.862044,300,1937.269633
217.515338,300,1949.443539
223.547252,300,1961.547614
225.3534,300,1973.617788
215.607199,300,1985.668303
236.022136,300,1997.587779
224.036782,300,2009.381021
222.328216,300,2021.407146
